MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_413;Rho_wn_IS_440;Rho_wn_IS_501;Rho_wn_IS_555;Rho_wn_IS_674;Rho_wn_IS_870;LwN_IS_413;LwN_IS_440;LwN_IS_501;LwN_IS_555;LwN_IS_674;LwN_IS_870;ExactWavelength_IS_413;ExactWavelength_IS_440;ExactWavelength_IS_501;ExactWavelength_IS_555;ExactWavelength_IS_674;ExactWavelength_IS_870;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
AAB_40_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070126T115304Z;P10000000;M110100001110030101;    41.000;    64.728;       0.004706;       0.006827;       0.011374;       0.008596;       0.002558;       0.000467;       0.256200;       0.404770;       0.714543;       0.502959;       0.121435;       0.014022;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.989757;    1017.041931;       1.697435;     262.297638
AAB_41_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070127T101414Z;P10000000;M110100001110030101;    41.000;    49.852;       0.007554;       0.009034;       0.011810;       0.009036;       0.000204;            NaN;       0.411239;       0.535669;       0.741922;       0.528674;       0.009692;      -0.014678;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.007477;    1016.624512;       4.452739;     262.461090
AAB_42_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070127T105305Z;P10000000;M110100001110030101;    41.000;    54.848;       0.006966;       0.008199;       0.011118;       0.008446;       0.002051;       0.000940;       0.379192;       0.486126;       0.698428;       0.494169;       0.097349;       0.028189;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.993106;    1016.329102;       4.562218;     262.465820
AAB_43_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070127T115306Z;P10000000;M110100001110030101;    41.000;    64.523;       0.004397;       0.005617;       0.008635;       0.007794;       0.002582;       0.000751;       0.239380;       0.333067;       0.542464;       0.456003;       0.122546;       0.022538;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.484990;    1015.872803;       4.731345;     262.473114
AAB_44_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070128T061427Z;P10000000;M110100001110030101;    41.000;    56.596;       0.005205;       0.006100;       0.008597;       0.005949;       0.000724;            NaN;       0.283322;       0.361714;       0.540085;       0.348058;       0.034380;      -0.009496;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.806657;    1018.439880;       4.520093;     262.607330
AAB_45_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070128T075325Z;P10000000;M110100001110030101;    41.000;    45.519;       0.008309;       0.008729;       0.010216;       0.007406;       0.001473;       0.000656;       0.452304;       0.517595;       0.641815;       0.433311;       0.069897;       0.019681;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.887274;    1017.392761;       4.234460;     262.619385
AAB_46_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070128T081431Z;P10000000;M110100001110030101;    41.000;    44.507;       0.007099;       0.008281;       0.010004;       0.007692;       0.001548;            NaN;       0.386433;       0.491028;       0.628467;       0.450033;       0.073468;      -0.000166;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.014872;    1017.169495;       4.173562;     262.621979
AAB_47_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070128T085347Z;P10000000;M110100001110030101;    41.000;    44.160;       0.007760;       0.008158;       0.011041;       0.008496;       0.001437;       0.000311;       0.422433;       0.483717;       0.693592;       0.497080;       0.068189;       0.009316;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.022290;    1016.754028;       4.060233;     262.626770
AAB_48_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070129T055349Z;P10000000;M110100001110030101;    41.000;    59.779;       0.006989;       0.007902;       0.010480;       0.007491;       0.001356;       0.000291;       0.380473;       0.468514;       0.658344;       0.438289;       0.064380;       0.008738;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.865063;    1015.977051;       4.755621;     262.780304
AAB_49_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070205T075554Z;P10000000;M110100001110030101;    41.000;    43.496;       0.005984;       0.007366;       0.009637;       0.006995;       0.000980;       0.000488;       0.325737;       0.436758;       0.605429;       0.409265;       0.046524;       0.014635;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.894637;    1013.076782;       7.777755;     264.023560
