MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
GDT_309_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060810T115816Z;P10000000;M110100001110030101;     8.000;    44.454;       0.002755;       0.003728;       0.005602;       0.007322;       0.001757;       0.149965;       0.223300;       0.342759;       0.418714;       0.085668;     897.815616;    1043.216743;    1130.775743;    1073.415776;     970.859899;       1.345264;    1006.980164;       2.505505;     316.938538
GDT_310_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060810T122934Z;P10000000;M110100001110030101;     8.000;    46.281;       0.003132;       0.003501;       0.005460;       0.007152;       0.001799;       0.170522;       0.209739;       0.334080;       0.409009;       0.087745;     861.313648;    1002.734330;    1088.847468;    1034.129250;     937.255152;       1.353782;    1006.988831;       2.577478;     316.924744
GDT_311_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060810T125817Z;P10000000;M110100001110030101;     8.000;    48.528;       0.003056;       0.003534;       0.005507;       0.007323;       0.001929;       0.166361;       0.211705;       0.336969;       0.418763;       0.094041;     815.005420;     951.332742;    1035.575006;     984.204888;     894.529342;       1.408507;    1006.995056;       2.644972;     316.912048
GDT_312_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060810T132933Z;P10000000;M110100001110030101;     8.000;    51.407;       0.003300;       0.003616;       0.005352;       0.007412;       0.001724;       0.179647;       0.216617;       0.327498;       0.423848;       0.084081;     753.489879;     882.966804;     964.652441;     917.723793;     837.591457;       1.576280;    1007.001831;       2.718458;     316.898254
GDT_313_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060810T140902Z;P10000000;M110100001110030101;     8.000;    55.693;       0.002678;       0.003138;       0.005448;       0.007739;       0.001953;       0.145791;       0.187973;       0.333376;       0.442574;       0.095246;     657.922419;     776.524652;     854.042598;     813.998333;     748.636831;       1.698126;    1007.010376;       2.811257;     316.880859
GDT_314_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060811T080831Z;P10000000;M110100001110030101;     8.000;    53.048;       0.002249;       0.003937;       0.005301;       0.006837;       0.001624;       0.122404;       0.235813;       0.324361;       0.390946;       0.079184;     717.040653;     842.500559;     922.754760;     878.596939;     804.079839;       1.290011;    1009.131409;       5.114695;     316.404602
GDT_315_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060815T102746Z;P10000000;M110100001110030101;     8.000;    44.707;       0.001886;       0.002501;       0.004749;       0.005755;       0.001730;       0.102652;       0.149821;       0.290566;       0.329089;       0.084379;     894.589154;    1039.231190;    1126.242348;    1069.143842;     966.759957;       1.096229;     998.001648;       6.281904;     313.801941
GDT_316_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060817T095813Z;P10000000;M110100001110030101;     8.000;    46.248;       0.002230;       0.004352;       0.005701;       0.007084;       0.002010;       0.121395;       0.260671;       0.348844;       0.405121;       0.097996;     862.300682;    1003.775122;    1089.970424;    1035.705990;     938.255706;       1.157130;    1005.426880;       1.406217;     312.187378
GDT_317_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060817T102815Z;P10000000;M110100001110030101;     8.000;    45.303;       0.003061;       0.003754;       0.006404;       0.006478;       0.001895;       0.166610;       0.224856;       0.391879;       0.370422;       0.092390;     881.267624;    1024.818417;    1111.774674;    1056.146486;     955.741883;       0.665848;    1005.535706;       1.463901;     312.171051
GDT_318_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060817T112814Z;P10000000;M110100001110030101;     8.000;    45.487;       0.002676;       0.003863;       0.006022;       0.006602;       0.002127;       0.145653;       0.231422;       0.368463;       0.377536;       0.103726;     877.564312;    1020.721510;    1107.544251;    1052.196421;     952.366991;       0.824431;    1005.753052;       1.579109;     312.138428
