MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_443;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_665;Rho_wn_IS_681;Rho_wn_IS_708;Rho_wn_IS_753;Lw_IS_412;Lw_IS_443;Lw_IS_490;Lw_IS_510;Lw_IS_560;Lw_IS_620;Lw_IS_665;Lw_IS_681;Lw_IS_708;Lw_IS_753;Es_IS_412;Es_IS_443;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_665;Es_IS_681;Es_IS_708;Es_IS_753
MOBY_667_b_oc;MOBY;KennethVoss;    20.814;  -157.189;20030810T000614Z;P10100100;M111110111101110100;    14.000;    22.311;       0.033063;       0.025244;       0.016092;       0.008072;       0.002867;       0.000273;       0.000099;       0.000085;       0.000013;            NaN;       1.429700;       1.207400;       0.826500;       0.416500;       0.141500;       0.012300;       0.004300;       0.003600;       0.000500;            NaN;     136.600006;     151.199997;     162.399994;     163.600006;     156.399994;     142.800003;     137.800003;     134.399994;     123.099998;     115.800003
MOBY_668_b_oc;MOBY;KennethVoss;    20.827;  -157.208;20030815T000625Z;P10100100;M111110111101110100;    14.000;    22.948;       0.037362;       0.028621;       0.018733;       0.010235;       0.004142;       0.000415;       0.000143;       0.000122;       0.000021;       0.000003;       1.566700;       1.326000;       0.930500;       0.510400;       0.198000;       0.018100;       0.006000;       0.005000;       0.000800;       0.000100;     132.399994;     146.399994;     157.000000;     158.000000;     151.399994;     138.199997;     133.100006;     129.800003;     117.800003;     111.800003
MOBY_669_b_oc;MOBY;KennethVoss;    20.824;  -157.202;20030816T000615Z;P10100100;M111110111101110100;    15.000;    23.103;       0.037030;       0.029217;       0.019466;       0.010688;       0.004297;       0.000393;       0.000132;       0.000110;       0.000019;            NaN;       1.513000;       1.318500;       0.942300;       0.520500;       0.200000;       0.016700;       0.005400;       0.004400;       0.000700;            NaN;     129.000000;     142.600006;     153.000000;     154.300003;     147.399994;     134.600006;     129.899994;     126.599998;     117.000000;     109.000000
MOBY_670_b_oc;MOBY;KennethVoss;    20.816;  -157.208;20030818T000616Z;P10100100;M111110111101110100;    15.000;    23.416;       0.037510;       0.029090;       0.019515;       0.010849;       0.004381;       0.000419;       0.000146;       0.000126;       0.000022;            NaN;       1.519600;       1.303600;       0.937900;       0.522900;       0.202100;       0.017600;       0.005900;       0.005000;       0.000800;            NaN;     127.900002;     141.600006;     151.899994;     152.699997;     146.100006;     133.000000;     128.300003;     125.099998;     113.599998;     107.699997
MOBY_671_b_oc;MOBY;KennethVoss;    20.823;  -157.203;20030819T000616Z;P10100100;M111110111101110100;    15.000;    23.593;       0.037789;       0.029208;       0.019629;       0.010882;       0.004450;       0.000423;       0.000156;       0.000129;       0.000022;            NaN;       1.520200;       1.297800;       0.935300;       0.520700;       0.203900;       0.017700;       0.006300;       0.005100;       0.000800;            NaN;     127.000000;     140.399994;     150.600006;     151.600006;     145.100006;     132.600006;     128.000000;     124.900002;     113.699997;     107.699997
MOBY_672_b_oc;MOBY;KennethVoss;    20.825;  -157.203;20030821T000616Z;P10100100;M111110111101110100;    15.000;    23.952;       0.035593;       0.027921;       0.018794;       0.010240;       0.003994;       0.000390;       0.000146;       0.000127;       0.000025;            NaN;       1.449400;       1.256800;       0.908700;       0.496400;       0.186000;       0.016600;       0.006000;       0.005100;       0.000900;            NaN;     128.600006;     142.300003;     152.899994;     153.699997;     147.600006;     134.899994;     130.000000;     126.800003;     114.300003;     109.300003
MOBY_673_b_oc;MOBY;KennethVoss;    20.833;  -157.195;20030822T000616Z;P10100100;M111110111101110100;    13.000;    24.150;       0.043103;       0.033261;       0.021535;       0.011704;       0.004750;       0.000495;       0.000160;       0.000127;       0.000023;            NaN;       1.880700;       1.607500;       1.120800;       0.611600;       0.238300;       0.022700;       0.007100;       0.005500;       0.000900;            NaN;     137.800003;     152.800003;     164.600006;     165.699997;     159.000000;     145.500000;     140.399994;     137.000000;     124.300003;     118.199997
MOBY_674_b_oc;MOBY;KennethVoss;    20.832;  -157.193;20030825T000604Z;P10100100;M111110111101110100;    14.000;    24.755;       0.037619;       0.028716;       0.018537;       0.010044;       0.004049;       0.000404;       0.000138;       0.000120;       0.000023;       0.000005;       1.609000;       1.361100;       0.945100;       0.514800;       0.199200;       0.018200;       0.006000;       0.005100;       0.000900;       0.000200;     135.100006;     149.899994;     161.300003;     162.600006;     156.000000;     142.800003;     137.600006;     134.199997;     123.000000;     115.699997
MOBY_675_b_oc;MOBY;KennethVoss;    20.829;  -157.185;20030826T000428Z;P10100100;M111110111101110100;    13.000;    24.536;       0.039573;       0.030105;       0.019244;       0.010466;       0.004244;       0.000455;       0.000138;       0.000115;       0.000020;            NaN;       1.696400;       1.429900;       0.983100;       0.537800;       0.209200;       0.020500;       0.006000;       0.004900;       0.000800;            NaN;     135.399994;     150.199997;     161.600006;     163.000000;     156.300003;     143.000000;     137.800003;     134.399994;     123.500000;     115.900002
MOBY_676_b_oc;MOBY;KennethVoss;    20.832;  -157.195;20030827T000619Z;P10100100;M111110111101110100;    14.000;    25.185;       0.041761;       0.031663;       0.020270;       0.010890;       0.004367;       0.000409;       0.000152;       0.000128;       0.000024;            NaN;       1.719800;       1.442300;       0.991500;       0.535600;       0.205800;       0.017600;       0.006300;       0.005200;       0.000900;            NaN;     130.100006;     144.100006;     154.800003;     156.100006;     149.500000;     136.699997;     131.899994;     128.600006;     118.099998;     110.800003
MOBY_677_b_oc;MOBY;KennethVoss;    20.827;  -157.190;20030828T000618Z;P10100100;M111110111101110100;    13.000;    25.412;       0.037153;       0.028121;       0.018053;       0.009740;       0.003984;       0.000405;       0.000144;       0.000127;       0.000025;            NaN;       1.644200;       1.382400;       0.956700;       0.519000;       0.204100;       0.019000;       0.006500;       0.005600;       0.001000;            NaN;     139.800003;     155.500000;     167.699997;     169.100006;     162.500000;     148.800003;     143.600006;     140.000000;     127.599998;     120.800003
MOBY_678_b_oc;MOBY;KennethVoss;    20.812;  -157.203;20030831T000620Z;P10100100;M111110111101110100;    15.000;    26.101;       0.035380;       0.026644;       0.017250;       0.009124;       0.003495;       0.000359;       0.000137;       0.000125;       0.000022;            NaN;       1.454300;       1.212900;       0.844800;       0.448900;       0.165200;       0.015500;       0.005700;       0.005100;       0.000800;            NaN;     129.899994;     144.100006;     155.100006;     156.300003;     150.100006;     137.300003;     132.399994;     129.100006;     117.599998;     111.400002
